Wavelength (nm), Relative Intensity (%)
199.9979705810547,0.0
200.16763305664062,0.0
200.33726501464844,0.0
200.50686645507812,0.0
200.6764373779297,0.0
200.84596252441406,0.0
201.01547241210938,0.0
201.1849365234375,0.0
201.3543701171875,0.0
201.52377319335938,0.0
201.69314575195312,0.0
201.86248779296875,0.0
202.03179931640625,0.0
202.20108032226562,4.553136469971823e-05
202.3703155517578,0.0010157573308401853
202.53953552246094,0.005708544394397426
202.70870971679688,0.011258954903930756
202.87786865234375,0.022915563534477643
203.04698181152344,0.017079518521837537
203.216064453125,0.019122958154737284
203.38511657714844,0.054672607657464914
203.55413818359375,-0.012135680156645014
203.72311401367188,-0.01685121862692517
203.89207458496094,0.08562251949471407
204.06100463867188,0.09640124861735996
204.22988891601562,0.20992543064426147
204.39874267578125,0.13581742640884428
204.5675811767578,0.3023429396087811
204.7363739013672,0.310458706752214
204.90513610839844,0.2096446695559042
205.0738525390625,0.2296474495744011
205.2425537109375,-0.07170025307489004
205.41122436523438,0.004281090972052667
205.57984924316406,0.19073763899161758
205.7484588623047,0.1931727512890662
205.91702270507812,0.4062070860832344
206.08555603027344,0.26262160101183935
206.25405883789062,0.503877667642939
206.4225311279297,0.46659606734855746
206.59097290039062,0.4379012458945713
206.75938415527344,0.3349394729492182
206.92774963378906,0.3886544847254333
207.09609985351562,0.309132051805173
207.264404296875,0.34897016266096936
207.43267822265625,0.34959945151694827
207.60092163085938,0.35375553041453445
207.76913452148438,0.35753994722549054
207.93731689453125,0.4884236337524795
208.10546875,0.7494876074537652
208.27357482910156,0.6108751532963359
208.44166564941406,0.5398118100384572
208.60971069335938,0.5742134746666341
208.77774047851562,0.6491082101137494
208.9457244873047,0.49540696731768374
209.11367797851562,0.6214407019089355
209.28158569335938,0.5985605516715193
209.44947814941406,0.6863626358400486
209.61734008789062,0.8381705807930091
209.78515625,0.7726939981001973
209.95294189453125,0.8296818239926473
210.12071228027344,0.9227813374131083
210.28843688964844,1.0685647919669752
210.4561309814453,1.1324911902199717
210.623779296875,1.0674183280689582
210.79141235351562,1.0500536928811346
210.95901489257812,1.1330919385936977
211.12657165527344,1.25193865079207
211.29409790039062,1.3030057558016148
211.4615936279297,1.2917232764688458
211.62905883789062,1.3107395121073533
211.79649353027344,1.5793071035802841
211.96389770507812,1.6677223020672483
212.1312713623047,1.6742908399114793
212.29859924316406,1.8336164055329052
212.4658966064453,1.9009323185034368
212.63316345214844,1.9608635594980373
212.80039978027344,2.0478019320821623
212.9676055908203,2.177837190120955
213.13478088378906,2.2271292159677607
213.3019256591797,2.6044667902760223
213.46902465820312,2.8056945053653197
213.6361083984375,2.775593494213333
213.8031463623047,3.036483431446458
213.97015380859375,3.0932625663499507
214.1371307373047,3.3193666053268096
214.30406188964844,3.4198183957826456
214.47097778320312,3.8252288967344916
214.63784790039062,4.054022959181882
214.80470275878906,4.2452484108180375
214.9715118408203,4.553893870589717
215.13829040527344,4.545675276373664
215.30503845214844,4.756853189296137
215.4717559814453,4.888158375374109
215.638427734375,5.370160123464782
215.80508422851562,5.8277849394660395
215.97169494628906,6.432431367050313
216.13827514648438,6.941354458066811
216.30482482910156,6.809365564591749
216.47134399414062,7.053797068851282
216.6378173828125,7.5923873442719865
216.8042755126953,8.290219061235742
216.97068786621094,9.23920994992943
217.1370849609375,9.87365349095619
217.30343627929688,10.45249656711002
217.46975708007812,10.573173429990572
217.6360321044922,10.576513541509742
217.8022918701172,11.0940296811379
217.96852111816406,12.23404006727377
218.13470458984375,13.821862966512901
218.3008575439453,15.395129214768907
218.46697998046875,16.721542310904162
218.63307189941406,17.286046566760927
218.7991180419922,17.639162921152586
218.96514892578125,17.81914242697027
219.13113403320312,18.571657263436745
219.29710388183594,20.37102060515376
219.46302795410156,23.513790609204985
219.62890625,27.008134967733096
219.79476928710938,30.341108223766366
219.96060180664062,33.19106114674998
220.1263885498047,35.17590164825582
220.29214477539062,36.34595062116084
220.45787048339844,37.58453907332934
220.62356567382812,39.8427143375727
220.7892303466797,43.65086444062044
220.95486450195312,50.02306013299073
221.12045288085938,59.07793042390747
221.2860107421875,69.75649495897561
221.4515380859375,80.68398214354264
221.61703491210938,90.20728200050542
221.78250122070312,96.71407986200559
221.94793701171875,100.0
222.1133270263672,99.20400754157177
222.2786865234375,93.99320162557578
222.4440155029297,85.31853294919533
222.60931396484375,74.56929770522481
222.7745819091797,62.759239139117405
222.9398193359375,50.94529745931068
223.10501098632812,40.09502005620916
223.27017211914062,30.98941084117277
223.435302734375,23.719354654187647
223.60040283203125,17.942350297028028
223.76547241210938,13.729929554688358
223.9304962158203,10.859909657368705
224.0955047607422,8.767835523594043
224.26046752929688,7.242924747052415
224.42539978027344,6.2990746120776775
224.59030151367188,5.607364300905168
224.75515747070312,5.083551945050199
224.9199981689453,4.5802519714980745
225.0847930908203,4.143873812771344
225.2495574951172,3.7490603394578508
225.41429138183594,3.441387179344009
225.57899475097656,3.1415324818039965
225.74365234375,2.8120301356506765
225.90829467773438,2.556236781652847
226.07289123535156,2.3961281427252756
226.23745727539062,2.2513561077009485
226.40199279785156,2.136317047053577
226.56649780273438,2.0089420615116307
226.73095703125,1.8297690741173804
226.8953857421875,1.7119965338155976
227.05979919433594,1.7691381625149643
227.22415161132812,1.7859699903963178
227.38848876953125,1.7471941528906274
227.55279541015625,1.7045123121711863
227.71705627441406,1.6699040920851689
227.88128662109375,1.5642064067648735
228.0454864501953,1.54471288968952
228.20965576171875,1.5892231723080363
228.37379455566406,1.5947853642087957
228.5378875732422,1.496530634149455
