Wavelength (nm), Relative Intensity (%)
199.9979705810547,0.24835668106461495
200.16763305664062,0.24425709174973811
200.33726501464844,0.24379340063180968
200.50686645507812,0.2419145051306697
200.6764373779297,0.24222041210451764
200.84596252441406,0.24927743142380285
201.01547241210938,0.25531736951133116
201.1849365234375,0.2487988732175862
201.3543701171875,0.2609368917192364
201.52377319335938,0.26651687539814145
201.69314575195312,0.274022717394623
201.86248779296875,0.28101752999473023
202.03179931640625,0.2840397340881273
202.20108032226562,0.29192844813929336
202.3703155517578,0.29936107367977893
202.53953552246094,0.31350680574551426
202.70870971679688,0.32389980879948377
202.87786865234375,0.3352018990261891
203.04698181152344,0.3460000250860911
203.216064453125,0.35561815793401597
203.38511657714844,0.3736563082355851
203.55413818359375,0.37622466879937566
203.72311401367188,0.3838137091815376
203.89207458496094,0.3988481940882277
204.06100463867188,0.42074435941425586
204.22988891601562,0.4311703477380703
204.39874267578125,0.4449458182869081
204.5675811767578,0.4571690231331457
204.7363739013672,0.4728516673550614
204.90513610839844,0.4935015506046413
205.0738525390625,0.5112537647663012
205.2425537109375,0.5261961939347781
205.41122436523438,0.5434148960228161
205.57984924316406,0.5633221008921738
205.7484588623047,0.5830527420114309
205.91702270507812,0.6023179847910458
206.08555603027344,0.6240064411547167
206.25405883789062,0.6477601588182621
206.4225311279297,0.6726476523910971
206.59097290039062,0.6926945170723063
206.75938415527344,0.7179837829136708
206.92774963378906,0.7418042078606458
207.09609985351562,0.7654486999924012
207.264404296875,0.785326381797297
207.43267822265625,0.81104209479279
207.60092163085938,0.8375807081073019
207.76913452148438,0.866840940574727
207.93731689453125,0.8876899031488132
208.10546875,0.9073392493747914
208.27357482910156,0.9406052940968107
208.44166564941406,0.9774530912353656
208.60971069335938,1.0106567051050728
208.77774047851562,1.0472334218378947
208.9457244873047,1.0915313440867953
209.11367797851562,1.1218149991161765
209.28158569335938,1.1703852729203859
209.44947814941406,1.2184969187891632
209.61734008789062,1.2772590033276985
209.78515625,1.32343805414915
209.95294189453125,1.374325796445198
210.12071228027344,1.435077153645752
210.28843688964844,1.501834097254499
210.4561309814453,1.570070930893228
210.623779296875,1.6563582585234493
210.79141235351562,1.72792995890554
210.95901489257812,1.780659231447067
211.12657165527344,1.8448394867396638
211.29409790039062,1.9486093214284799
211.4615936279297,2.0503702619360835
211.62905883789062,2.1472594325020125
211.79649353027344,2.224194505429669
211.96389770507812,2.2970771208562897
212.1312713623047,2.381742438688782
212.29859924316406,2.5057581386852594
212.4658966064453,2.648062861074697
212.63316345214844,2.768631129821913
212.80039978027344,2.870748737843206
212.9676055908203,2.966313380272906
213.13478088378906,3.0699542866028273
213.3019256591797,3.223554630384796
213.46902465820312,3.424671792960606
213.6361083984375,3.601948872015151
213.8031463623047,3.7477926149565075
213.97015380859375,3.8404896917291405
214.1371307373047,3.971866355401378
214.30406188964844,4.174900617263987
214.47097778320312,4.4534898410139245
214.63784790039062,4.770604407719615
214.80470275878906,5.023763506756898
214.9715118408203,5.177835665349792
215.13829040527344,5.2877438472365546
215.30503845214844,5.4578810092248045
215.4717559814453,5.796740833795336
215.638427734375,6.283682281321624
215.80508422851562,6.780488503614405
215.97169494628906,7.14765252735087
216.13827514648438,7.3889067616622635
216.30482482910156,7.503831913387975
216.47134399414062,7.700022037295419
216.6378173828125,8.22808313950169
216.8042755126953,9.00133025314574
216.97068786621094,9.901786339025453
217.1370849609375,10.593232664065638
217.30343627929688,10.985834770160553
217.46975708007812,11.130351448109106
217.6360321044922,11.30326662865708
217.8022918701172,11.75368505285385
217.96852111816406,12.780156060553574
218.13470458984375,14.288105414781228
218.3008575439453,15.946900048402654
218.46697998046875,17.279544580013027
218.63307189941406,17.991205682949264
218.7991180419922,18.233042278894587
218.96514892578125,18.42242274944655
219.13113403320312,19.09273101045517
219.29710388183594,20.78460061828125
219.46302795410156,23.618728309042915
219.62890625,27.095238796429427
219.79476928710938,30.616176467102953
219.96060180664062,33.66431863301977
220.1263885498047,35.52636392742758
220.29214477539062,36.675309202539246
220.45787048339844,37.748202462525896
220.62356567382812,39.5559822802442
220.7892303466797,43.433548791961904
220.95486450195312,49.897101417357874
221.12045288085938,58.63385612940593
221.2860107421875,69.09822576964592
221.4515380859375,79.99729359043202
221.61703491210938,89.60387560114648
221.78250122070312,96.6072914072128
221.94793701171875,100.0
222.1133270263672,99.03517074167857
222.2786865234375,94.03825417319035
222.4440155029297,85.94375023756857
222.60931396484375,75.61163399286771
222.7745819091797,63.92561300299662
222.9398193359375,52.22048789225392
223.10501098632812,41.487520218720185
223.27017211914062,32.23279999481708
223.435302734375,24.610346247123726
223.60040283203125,18.725781379917315
223.76547241210938,14.41737208823769
223.9304962158203,11.396045866982204
224.0955047607422,9.30410526602846
224.26046752929688,7.870924612645898
224.42539978027344,6.884951596182541
224.59030151367188,6.173448210035833
224.75515747070312,5.596256186926377
224.9199981689453,5.083843504541403
225.0847930908203,4.6095826900417345
225.2495574951172,4.184738154061164
225.41429138183594,3.8093130706247162
225.57899475097656,3.4893274441430386
225.74365234375,3.2231513593509313
225.90829467773438,3.0099021386967384
226.07289123535156,2.8274946652551587
226.23745727539062,2.6817307073522194
226.40199279785156,2.569760581794015
226.56649780273438,2.47699739293398
226.73095703125,2.3976164730876515
226.8953857421875,2.3349340132788643
227.05979919433594,2.2879549293112826
227.22415161132812,2.2540902764133315
227.38848876953125,2.227688000568772
227.55279541015625,2.2061422178556707
227.71705627441406,2.189313604800388
227.88128662109375,2.177419689546827
228.0454864501953,2.178479555278987
